cagnotte_id,data_clicked_from,data_completion_rate,data_device,data_file_size,data_mime_type,data_platform,data_skip_time,data_thumbnail_url,data_video_duration,data_video_height,data_video_width,data_view_duration,data_watch_duration,event_id,event_type,id_categorie,post_id,session_id,timestamp,user_id,user_type,video_id
04b7e225-61b4-4917-acf8-5934a09dbf2c,,,,,,,,,,,,,,0,video_favorite,7931366a-b995-4cfb-8072-6f0e076e5564,00662aca-4827-4b6a-88b2-2bec5c3e973b,f7449492-5541-430d-8419-2a6a92d02d94,2025-09-18T02:12:35+00:00,,anonymous,415
ea2d0655-c7e9-4130-bcf1-20ff4c227aa7,,,,,,,,,,,,,,1,video_favorite,7c732b16-2984-4136-881b-7e49cf450459,11c1ee0d-b64a-4ba4-96f1-80197f2d1b84,,2025-09-18T02:13:03+00:00,04f826e7-3016-44a6-b2b0-e31b002876dd,authenticated,364
04b7e225-61b4-4917-acf8-5934a09dbf2c,,,,,,,2,,,,,,,2,video_skip,7931366a-b995-4cfb-8072-6f0e076e5564,10c80598-075f-4f57-86d6-883cfb3caad5,,2025-09-18T02:13:31+00:00,44456737-15dc-45b3-a8b3-b201eb3b12f7,authenticated,396
04b7e225-61b4-4917-acf8-5934a09dbf2c,,,,,,telegram,,,,,,,,3,video_share,7931366a-b995-4cfb-8072-6f0e076e5564,ad22b034-2669-48e4-aaae-5c6f222189de,49378c7d-b1ca-42d8-b587-192d95b76e69,2025-09-18T02:14:44+00:00,,anonymous,410
04b7e225-61b4-4917-acf8-5934a09dbf2c,,0.73,mobile,,,,,,60,,,,44,4,video_view,7931366a-b995-4cfb-8072-6f0e076e5564,c4cbe13e-4ba5-4970-99d4-3a5ec39da5e0,c34b71e2-0b55-4a74-8ba2-62b41e56eaef,2025-09-18T02:15:46+00:00,,anonymous,383
ea2d0655-c7e9-4130-bcf1-20ff4c227aa7,,0.2,mobile,1599643,video/mp4,,,,60,,,,12,5,video_view,7c732b16-2984-4136-881b-7e49cf450459,b6ed3742-9ae9-4246-8c4a-38ee6412a882,,2025-09-18T02:16:04+00:00,44456737-15dc-45b3-a8b3-b201eb3b12f7,authenticated,369
ea2d0655-c7e9-4130-bcf1-20ff4c227aa7,,,,,,,,,,,,,,6,video_replay,7c732b16-2984-4136-881b-7e49cf450459,3bcc968e-3813-4a62-a641-68087d8a286d,,2025-09-18T02:16:11+00:00,04f826e7-3016-44a6-b2b0-e31b002876dd,authenticated,362
ea2d0655-c7e9-4130-bcf1-20ff4c227aa7,,0.55,desktop,1599643,video/mp4,,,,60,,,,33,7,video_view,7c732b16-2984-4136-881b-7e49cf450459,3b3a698b-9681-477d-a580-72de0c12f25d,,2025-09-18T02:16:32+00:00,44456737-15dc-45b3-a8b3-b201eb3b12f7,authenticated,365
ea2d0655-c7e9-4130-bcf1-20ff4c227aa7,,,,,,,1,,,,,,,8,video_skip,7c732b16-2984-4136-881b-7e49cf450459,f192fafa-96b7-4f59-bfd5-76d064af4f96,,2025-09-18T02:16:34+00:00,185b74d2-9b28-4674-9420-55138027a8cf,authenticated,360
ea2d0655-c7e9-4130-bcf1-20ff4c227aa7,,0.85,mobile,1599643,video/mp4,,,,60,,,,51,9,video_view,7c732b16-2984-4136-881b-7e49cf450459,142faddc-b891-4215-9fd7-9ffa9f18204c,,2025-09-18T02:17:06+00:00,04f826e7-3016-44a6-b2b0-e31b002876dd,authenticated,357
04b7e225-61b4-4917-acf8-5934a09dbf2c,,0.18,mobile,,,,,,60,,,,11,10,video_view,7931366a-b995-4cfb-8072-6f0e076e5564,905db189-d794-443c-8768-dff556d606df,ecee7c79-7f35-45c1-ba5b-94ce7c902257,2025-09-18T02:17:17+00:00,,anonymous,401
04b7e225-61b4-4917-acf8-5934a09dbf2c,,,,,,,,,,,,,,11,video_favorite,7931366a-b995-4cfb-8072-6f0e076e5564,e637b25a-8270-4804-8d83-e7e05efb51d3,,2025-09-18T02:17:23+00:00,7056bb7f-6b04-470b-9811-aceaac75bcfe,authenticated,379
2875efb2-1298-42a7-b5ad-2fdc5202ed27,recommendation,,,,,,,,,,,25,,12,cagnotte_detail_view,526f3fa0-9ccd-4799-8ac8-262853a22d20,,,2025-09-18T02:17:43+00:00,8848ceed-ef04-406d-a509-fd4f7129e3dc,authenticated,
04b7e225-61b4-4917-acf8-5934a09dbf2c,,,,,,,,,,,,,,13,video_replay,7931366a-b995-4cfb-8072-6f0e076e5564,00662aca-4827-4b6a-88b2-2bec5c3e973b,,2025-09-18T02:19:18+00:00,8848ceed-ef04-406d-a509-fd4f7129e3dc,authenticated,414
87b938d3-50f1-436e-b1eb-e5c07f292510,,,,,,,3,,,,,,,14,video_skip,7c732b16-2984-4136-881b-7e49cf450459,e42cd191-b482-4f5c-8aa6-0f7a369e9ad2,,2025-09-18T02:20:08+00:00,185b74d2-9b28-4674-9420-55138027a8cf,authenticated,430
f824fc85-f39b-435b-aca6-d6f7d3f0205f,,0.13,mobile,,,,,,60,,,,8,15,video_view,7c732b16-2984-4136-881b-7e49cf450459,41e53bd9-d392-4c28-a764-9f40b8e59447,,2025-09-18T02:20:12+00:00,7056bb7f-6b04-470b-9811-aceaac75bcfe,authenticated,436
ea2d0655-c7e9-4130-bcf1-20ff4c227aa7,,0.12,desktop,1599643,video/mp4,,,,60,,,,7,16,video_view,7c732b16-2984-4136-881b-7e49cf450459,3bcc968e-3813-4a62-a641-68087d8a286d,,2025-09-18T02:20:25+00:00,8848ceed-ef04-406d-a509-fd4f7129e3dc,authenticated,362
ea2d0655-c7e9-4130-bcf1-20ff4c227aa7,,0.58,desktop,1599643,video/mp4,,,,60,,,,35,17,video_view,7c732b16-2984-4136-881b-7e49cf450459,5086f612-72a6-4329-84ab-5e65a35c2149,,2025-09-18T02:21:12+00:00,d959671c-cf76-4668-b272-3bc315a22b76,authenticated,359
04b7e225-61b4-4917-acf8-5934a09dbf2c,,,,,,whatsapp,,,,,,,,18,video_share,7931366a-b995-4cfb-8072-6f0e076e5564,e637b25a-8270-4804-8d83-e7e05efb51d3,,2025-09-18T02:21:31+00:00,1a67c702-540f-47da-8fbe-b19eab0c06e6,authenticated,379
ea2d0655-c7e9-4130-bcf1-20ff4c227aa7,,,,,,,,,,,,,,19,video_replay,7c732b16-2984-4136-881b-7e49cf450459,b77f3f67-e5d5-4713-adff-82539d797853,,2025-09-18T02:22:09+00:00,8848ceed-ef04-406d-a509-fd4f7129e3dc,authenticated,363
9092eab6-4958-489c-9dc1-f75fc64eabda,,,,,,,1,,,,,,,20,video_skip,7c732b16-2984-4136-881b-7e49cf450459,fd88d4b6-f0ca-4d45-b7c1-a3841f6ac1db,,2025-09-18T02:22:22+00:00,185b74d2-9b28-4674-9420-55138027a8cf,authenticated,432
04b7e225-61b4-4917-acf8-5934a09dbf2c,,,,,,,2,,,,,,,21,video_skip,7931366a-b995-4cfb-8072-6f0e076e5564,50a6e92b-b76f-4ea4-acda-302aed685bb8,d70a01bf-1d48-4b0c-889d-2af27f893391,2025-09-18T02:22:26+00:00,,anonymous,393
04b7e225-61b4-4917-acf8-5934a09dbf2c,,0.52,tablet,,,,,,60,,,,31,22,video_view,7931366a-b995-4cfb-8072-6f0e076e5564,ad22b034-2669-48e4-aaae-5c6f222189de,f2ad518a-3535-4bc9-bbff-285ad44e5ef9,2025-09-18T02:22:28+00:00,,anonymous,409
04b7e225-61b4-4917-acf8-5934a09dbf2c,,0.88,tablet,,,,,,60,,,,53,23,video_view,7931366a-b995-4cfb-8072-6f0e076e5564,3bee3b9c-8b55-447f-a656-35d4eb62c825,,2025-09-18T02:22:46+00:00,319c6627-0e13-4613-9c56-ad455618fad1,authenticated,423
e0e44689-a198-4455-b710-ed2969cee7e5,,0.78,tablet,,,,,,60,,,,47,24,video_view,7c732b16-2984-4136-881b-7e49cf450459,99350afd-1173-4ef2-99f3-11bc66cff7f9,,2025-09-18T02:22:59+00:00,eca1c7b8-9e4e-48ca-a5ff-cad3891c3680,authenticated,443
